time_s,ax,ay,az,gx_cal,gy_cal,gz_cal,mx,my,mz
4.859,-9.714,0.803,0.076,-0.249,-0.011,0.31,-65.0,225.0,-326.0
4.912,-9.447,0.306,-0.229,-0.388,0.058,-0.037,-63.0,224.0,-324.0
4.965,-9.6,0.421,0.115,0.238,0.128,-0.037,-64.0,225.0,-324.0
5.018,-9.829,0.612,-0.076,-0.388,-0.081,-0.037,-64.0,225.0,-324.0
5.071,-11.015,0.306,0.191,-7.971,-0.429,-2.055,-64.0,225.0,-324.0
5.124,-9.753,0.574,0.038,2.673,0.197,0.38,-64.0,223.0,-325.0
5.177,-9.37,0.841,0.038,-1.084,-0.568,0.102,-64.0,225.0,-324.0
5.23,-9.408,0.459,0.0,-0.179,-0.081,-0.037,-63.0,225.0,-324.0
5.283,-9.485,0.421,0.65,-0.527,-0.011,0.589,-63.0,226.0,-323.0
5.336,-9.294,0.88,0.459,-0.388,-0.359,-0.107,-63.0,226.0,-323.0
5.389,-9.6,0.535,-0.115,-0.458,-0.011,0.102,-63.0,224.0,-325.0
5.442,-9.791,0.612,0.535,-0.11,0.197,0.102,-63.0,226.0,-324.0
5.495,-9.753,0.497,-0.076,-0.388,-0.011,-0.107,-63.0,225.0,-323.0
5.548,-9.447,0.306,0.076,-0.249,-0.29,0.171,-64.0,226.0,-324.0
5.601,-9.791,0.574,0.229,-0.319,0.058,0.102,-64.0,226.0,-324.0
5.654,-9.485,0.382,0.306,-0.11,-0.081,-0.246,-63.0,226.0,-323.0
5.707,-9.485,0.65,0.115,-0.388,0.058,0.171,-62.0,226.0,-324.0
5.76,-9.485,0.459,0.229,-0.388,-0.22,-0.176,-64.0,225.0,-324.0
5.813,-9.638,0.574,0.153,-0.249,-0.081,-0.037,-63.0,225.0,-323.0
5.866,-9.523,0.574,0.153,-0.179,0.128,-0.107,-63.0,225.0,-323.0
5.919,-9.791,0.612,-0.191,-0.388,0.058,-0.107,-63.0,225.0,-324.0
5.972,-9.447,0.229,0.153,-0.249,0.128,-0.246,-63.0,226.0,-324.0
6.025,-9.523,0.688,0.306,-0.319,0.058,0.032,-64.0,225.0,-325.0
6.078,-9.447,0.497,0.038,-0.319,0.128,0.31,-64.0,226.0,-323.0
6.131,-9.6,0.382,0.038,-0.458,-0.15,0.171,-64.0,226.0,-323.0
6.184,-9.37,0.382,-0.038,-0.249,-0.081,0.102,-65.0,225.0,-325.0
6.237,-9.714,0.612,0.115,-0.319,-0.15,0.032,-64.0,225.0,-325.0
6.29,-9.867,0.421,-0.076,-0.388,-0.011,0.102,-64.0,224.0,-324.0
6.343,-9.676,0.497,0.115,-0.458,0.058,0.032,-64.0,226.0,-323.0
6.396,-9.753,0.344,0.0,-0.249,0.058,-0.176,-64.0,226.0,-323.0
6.449,-9.37,0.688,0.344,-0.249,0.058,-0.107,-64.0,225.0,-324.0
6.502,-9.332,0.497,0.191,-0.249,-0.081,0.171,-64.0,224.0,-324.0
6.555,-9.561,0.421,0.268,-0.179,0.128,0.032,-63.0,227.0,-324.0
6.608,-9.676,0.497,0.191,-0.388,-0.011,0.032,-63.0,224.0,-324.0
6.661,-9.829,0.612,0.076,-0.319,0.128,-0.107,-63.0,224.0,-322.0
6.714,-9.753,0.497,-0.153,-0.458,-0.011,0.241,-64.0,225.0,-324.0
6.767,-9.485,0.688,0.268,-0.319,0.128,-0.107,-65.0,226.0,-324.0
6.82,-9.485,0.688,0.497,-0.319,0.128,0.032,-64.0,225.0,-323.0
6.873,-9.485,0.497,0.229,-0.179,-0.22,0.171,-64.0,226.0,-323.0
6.926,-9.332,0.497,-0.038,-0.249,-0.15,0.032,-65.0,226.0,-320.0
6.979,-9.638,0.612,0.268,-0.319,-0.011,0.102,-64.0,224.0,-325.0
7.032,-9.6,0.497,0.344,-0.319,-0.15,0.032,-65.0,224.0,-323.0
7.085,-9.676,0.688,0.0,-0.249,0.128,0.102,-64.0,225.0,-325.0
7.138,-9.37,0.497,0.497,-0.319,0.058,-0.176,-64.0,225.0,-325.0
7.191,-9.561,0.459,0.076,-0.249,-0.081,-0.037,-63.0,225.0,-320.0
7.244,-9.485,0.306,0.038,-0.388,-0.011,0.171,-63.0,225.0,-323.0
7.297,-9.867,0.727,0.268,-0.527,-0.081,0.102,-63.0,224.0,-323.0
7.35,-9.676,0.459,-0.115,-0.249,0.058,0.032,-62.0,225.0,-324.0
7.403,-9.561,0.421,0.0,-0.458,-0.081,0.102,-62.0,225.0,-324.0
7.456,-9.638,0.459,0.153,-0.597,0.058,0.032,-62.0,225.0,-320.0
7.509,-9.485,0.574,0.229,-0.249,0.128,-0.176,-62.0,225.0,-324.0
7.562,-9.447,0.497,0.344,-0.249,0.197,0.032,-61.0,225.0,-325.0
7.615,-9.408,0.612,0.382,-0.388,0.128,0.102,-62.0,225.0,-323.0
7.668,-9.676,0.612,0.191,-0.527,0.128,0.45,-62.0,225.0,-323.0
7.721,-9.638,0.382,0.076,-0.388,-0.081,-0.037,-64.0,226.0,-321.0
7.774,-9.714,0.497,-0.153,-0.249,0.128,-0.037,-64.0,225.0,-325.0
7.827,-9.829,0.688,-0.115,-0.458,-0.15,-0.037,-64.0,224.0,-325.0
7.88,-9.37,0.497,0.115,-0.249,-0.011,0.171,-64.0,225.0,-323.0
7.933,-9.561,0.459,0.0,-0.179,-0.15,-0.037,-64.0,225.0,-323.0
7.986,-9.485,0.574,0.076,-0.179,0.128,-0.107,-63.0,225.0,-321.0
8.039,-9.829,0.497,0.229,-0.388,0.058,-0.455,-66.0,225.0,-324.0
8.092,-9.332,0.497,0.115,-0.319,-0.15,-0.107,-62.0,224.0,-324.0
8.145,-9.638,0.459,-0.229,-0.249,0.058,-0.037,-63.0,224.0,-324.0
8.198,-9.676,0.688,0.191,-0.11,-0.081,-0.246,-63.0,224.0,-324.0
8.251,-9.906,0.688,0.191,-0.319,0.058,0.171,-62.0,225.0,-323.0
8.304,-9.408,0.268,0.153,-0.179,-0.081,0.032,-64.0,225.0,-324.0
8.357,-9.332,0.382,-0.153,-0.458,-0.29,-0.037,-64.0,226.0,-325.0
8.41,-9.829,0.382,0.115,-0.179,-0.081,0.102,-61.0,224.0,-324.0
8.463,-9.6,0.688,0.306,-0.249,-0.081,0.032,-61.0,224.0,-324.0
8.516,-9.408,0.574,0.306,-0.458,0.267,-0.107,-63.0,225.0,-324.0
8.569,-9.638,0.612,-0.153,-0.319,-0.011,-0.037,-63.0,225.0,-324.0
8.622,-9.561,0.765,0.382,-0.527,-0.22,-0.107,-63.0,226.0,-325.0
8.675,-9.332,0.497,0.153,-0.249,-0.081,0.032,-64.0,226.0,-323.0
8.728,-9.676,0.535,0.038,-0.249,0.058,0.241,-64.0,226.0,-323.0
8.781,-9.523,0.382,-0.038,0.029,-0.15,-0.107,-64.0,224.0,-323.0
8.834,-9.906,0.574,0.191,-0.319,0.128,0.241,-64.0,225.0,-325.0
8.887,-9.6,0.382,-0.076,-0.249,-0.011,0.032,-63.0,225.0,-323.0
8.94,-9.408,0.306,-0.115,-0.388,-0.011,0.102,-64.0,226.0,-325.0
8.993,-9.676,0.612,0.038,-0.11,-0.011,0.171,-64.0,226.0,-325.0
9.046,-9.638,0.421,-0.076,-0.388,0.058,0.102,-64.0,226.0,-323.0
9.099,-9.447,0.535,0.382,-0.249,0.058,0.102,-63.0,225.0,-325.0
9.152,-9.638,0.459,-0.076,-0.388,-0.011,0.032,-62.0,225.0,-324.0
9.205,-9.561,0.497,0.0,-0.388,-0.011,0.032,-65.0,224.0,-324.0
9.258,-9.6,0.497,0.421,-0.11,0.058,-0.316,-65.0,224.0,-324.0
9.311,-9.523,0.535,0.153,-0.319,-0.15,-0.037,-64.0,225.0,-323.0
9.364,-9.561,0.459,0.344,-0.388,0.197,-0.176,-64.0,226.0,-324.0
9.417,-9.638,0.535,0.115,-0.458,0.058,-0.037,-65.0,225.0,-324.0
9.47,-9.561,0.421,-0.076,-0.04,0.058,-0.107,-66.0,226.0,-324.0
9.523,-9.676,0.612,0.153,-0.249,-0.081,0.31,-66.0,226.0,-324.0
9.576,-9.6,0.535,-0.076,-0.249,-0.15,-0.037,-65.0,225.0,-323.0
9.629,-9.523,0.459,0.306,-0.319,0.058,-0.037,-64.0,224.0,-324.0
9.682,-9.408,0.65,0.421,-0.319,-0.011,0.171,-63.0,226.0,-324.0
9.735,-9.714,0.574,0.459,-0.179,0.058,0.102,-65.0,225.0,-325.0
9.788,-9.561,0.459,0.229,-0.319,-0.22,0.102,-65.0,225.0,-325.0
9.841,-9.523,0.459,0.268,-0.458,0.058,0.102,-64.0,225.0,-322.0
9.894,-9.6,0.421,0.229,-0.388,0.128,0.032,-63.0,225.0,-325.0
9.947,-9.676,0.688,-0.115,-0.458,-0.011,-0.107,-64.0,226.0,-324.0
10.0,-9.485,0.612,0.306,-0.04,-0.359,0.102,-64.0,224.0,-324.0
10.053,-9.561,0.535,0.076,-0.249,-0.011,-0.107,-64.0,224.0,-324.0
10.106,-9.791,0.497,-0.191,-0.527,0.058,-0.107,-63.0,226.0,-323.0
10.159,-9.676,0.535,0.229,-0.179,-0.15,0.241,-63.0,225.0,-325.0
10.212,-9.714,0.382,-0.115,-0.458,0.058,0.032,-62.0,225.0,-324.0
10.265,-9.408,0.497,0.038,-0.249,-0.22,-0.246,-65.0,224.0,-324.0
10.318,-9.523,0.497,0.268,-0.249,-0.011,-0.037,-65.0,224.0,-324.0
10.371,-9.561,0.688,0.344,-0.319,0.058,-0.176,-64.0,226.0,-325.0
10.424,-9.485,0.459,0.076,-0.179,0.128,-0.107,-64.0,225.0,-324.0
10.477,-9.714,0.765,0.115,-0.388,0.058,-0.037,-64.0,225.0,-324.0
10.53,-9.638,0.65,0.459,-0.249,-0.081,0.032,-64.0,225.0,-324.0
10.583,-9.714,0.459,0.0,-0.388,-0.15,0.241,-64.0,225.0,-324.0
10.636,-9.638,0.688,0.191,-0.179,0.058,0.032,-62.0,224.0,-325.0
10.689,-9.6,0.535,0.229,-0.597,-0.081,0.102,-64.0,225.0,-325.0
10.742,-9.408,0.459,0.344,-0.319,0.128,-0.037,-64.0,225.0,-325.0
10.795,-9.6,0.574,0.115,-0.458,-0.011,-0.037,-63.0,225.0,-324.0
10.848,-9.561,0.459,0.306,-0.388,-0.081,-0.037,-63.0,225.0,-324.0
10.901,-9.867,0.382,0.0,-0.319,-0.15,0.102,-62.0,225.0,-324.0
10.954,-9.714,0.727,0.382,-0.388,0.058,-0.037,-65.0,225.0,-324.0
11.007,-9.561,0.535,0.153,-0.319,-0.081,0.102,-65.0,225.0,-325.0
11.06,-9.714,0.65,0.191,-0.249,-0.081,-0.107,-62.0,225.0,-324.0
11.113,-9.906,0.612,0.153,-0.458,-0.011,0.032,-62.0,225.0,-324.0
11.166,-9.791,0.574,0.038,-0.319,-0.011,0.032,-64.0,224.0,-323.0
11.219,-9.523,0.65,0.153,-0.388,-0.081,-0.107,-65.0,225.0,-325.0
11.272,-9.6,0.612,0.382,-0.319,-0.15,0.102,-64.0,226.0,-325.0
11.325,-9.638,0.497,0.153,-0.319,-0.081,0.032,-63.0,225.0,-325.0
11.378,-9.37,0.497,0.191,-0.179,-0.081,-0.107,-63.0,225.0,-325.0
11.431,-9.638,0.765,0.612,-0.458,-0.22,-0.037,-63.0,226.0,-324.0
11.484,-9.753,0.459,-0.306,-0.249,-0.011,0.032,-64.0,225.0,-326.0
11.537,-9.906,0.765,0.268,-0.249,0.058,0.032,-65.0,225.0,-323.0
11.59,-9.638,0.65,0.191,-0.249,-0.081,0.032,-63.0,225.0,-324.0
11.643,-9.638,0.727,0.153,-0.319,-0.081,0.032,-63.0,225.0,-324.0
11.696,-9.6,0.535,0.076,-0.179,0.058,0.102,-64.0,226.0,-323.0
11.749,-9.561,0.268,-0.115,-0.527,0.058,0.102,-64.0,224.0,-323.0
11.802,-9.523,0.688,0.459,-0.179,-0.011,0.102,-62.0,225.0,-325.0
11.855,-9.638,0.65,0.076,-0.388,-0.22,-0.107,-64.0,226.0,-324.0
11.908,-9.447,0.459,0.076,-0.249,0.058,0.032,-64.0,226.0,-324.0
11.961,-9.447,0.727,0.421,-0.388,-0.29,-0.176,-63.0,226.0,-323.0
12.014,-9.753,0.574,0.0,-0.249,-0.15,0.032,-65.0,225.0,-324.0
12.067,-9.829,0.535,0.115,-0.458,0.197,0.032,-63.0,224.0,-325.0
12.12,-9.523,0.306,-0.153,-0.319,0.128,-0.037,-64.0,224.0,-324.0
12.173,-9.638,0.421,0.076,-0.179,-0.011,-0.176,-64.0,224.0,-324.0
12.226,-9.791,0.803,0.382,-0.388,0.128,-0.037,-63.0,225.0,-322.0
12.279,-9.676,0.459,0.038,-0.249,0.128,0.241,-64.0,225.0,-324.0
12.332,-9.714,0.535,-0.038,-0.458,-0.011,-0.107,-64.0,225.0,-323.0
12.385,-9.6,0.65,0.076,-0.319,-0.15,0.171,-64.0,225.0,-325.0
12.438,-9.523,0.765,0.038,-0.319,-0.081,-0.037,-64.0,225.0,-325.0
12.491,-9.944,0.765,0.038,-0.388,0.058,0.032,-64.0,225.0,-322.0
12.544,-9.408,0.535,-0.076,-0.666,-0.15,-0.246,-63.0,225.0,-324.0
12.597,-9.561,0.612,0.153,-0.179,0.128,-0.176,-62.0,224.0,-323.0
12.65,-9.561,0.344,-0.076,-0.458,-0.011,-0.107,-63.0,225.0,-323.0
12.703,-9.676,0.65,0.0,-0.249,0.058,-0.107,-63.0,225.0,-323.0
12.756,-9.791,0.727,0.459,-0.319,0.058,-0.246,-65.0,224.0,-321.0
12.809,-9.638,0.229,0.0,-0.319,-0.011,-0.037,-64.0,226.0,-324.0
12.862,-9.6,0.65,0.038,-0.04,-0.011,0.032,-64.0,224.0,-324.0
12.915,-9.676,0.535,0.076,-0.249,0.128,0.032,-62.0,226.0,-324.0
12.968,-9.791,0.459,-0.038,-0.319,-0.011,-0.037,-62.0,226.0,-324.0
13.021,-9.829,0.497,-0.115,-0.319,-0.15,-0.107,-62.0,225.0,-321.0
13.074,-9.561,0.459,0.229,-0.319,-0.15,0.102,-63.0,224.0,-325.0
13.127,-9.829,0.535,0.153,-0.179,0.128,0.102,-63.0,225.0,-325.0
13.18,-9.714,0.535,0.153,-0.319,-0.081,-0.107,-62.0,226.0,-325.0
13.233,-9.676,0.268,-0.229,-0.458,-0.011,-0.107,-62.0,226.0,-325.0
13.286,-9.408,0.459,0.038,-0.249,0.058,0.032,-63.0,225.0,-322.0
13.339,-9.256,0.574,0.268,-0.319,-0.22,-0.107,-64.0,224.0,-325.0
13.392,-9.6,0.574,0.382,-0.319,-0.22,-0.107,-63.0,224.0,-325.0
13.445,-9.523,0.574,0.115,-0.179,-0.011,-0.176,-64.0,224.0,-323.0
13.498,-9.676,0.306,0.115,-0.249,-0.081,0.032,-64.0,224.0,-323.0
13.551,-9.676,0.344,0.038,-0.249,0.058,0.032,-64.0,225.0,-323.0
13.604,-9.6,0.497,0.268,-0.388,-0.081,-0.107,-65.0,226.0,-323.0
